Restaurant Name,Zip Code,Inspection Date,Score,Address,Facility ID,Process Description
LW - Raising Cane's Restaurants,78734,03/26/2019,100,"1600 S FM 620 RD
LAKEWAY, TX 78734",11531765,Routine Inspection
Super 8 Motel,78753,08/24/2020,98,"8128 N IH
AUSTIN, TX 78753",10002408,Routine Inspection
Circle K #2742103,78753,12/06/2018,93,"11139 N IH
AUSTIN, TX 78753",2803560,Routine Inspection
Riverside Grocery,78701,03/02/2021,93,"30 N IH
AUSTIN, TX 78701",2803648,Routine Inspection
Black Walnut Cafe,78730,01/28/2020,76,"10817 FM 2222 RD
AUSTIN, TX 78730",11034123,Routine Inspection
Souper Salad,78753,11/13/2019,95,"12901 N IH
AUSTIN, TX 78753",10598822,Routine Inspection
Drury Inn,78752,12/30/2019,83,"6711 N IH
AUSTIN, TX 78752",2800251,Routine Inspection
Subway,78723,03/25/2021,88,"5419 N IH
AUSTIN, TX 78723",11979569,Routine Inspection
BC - Snack Max # 6,78738,12/16/2019,84,"13006 W SH
BEE CAVE, TX 78738",11753835,Routine Inspection
Sparefoot,78705,12/20/2018,91,"3300 N IH
AUSTIN, TX 78705",11903616,Routine Inspection
Baby Acapulco #4,78753,09/11/2020,72,"13609 N IH
AUSTIN, TX 78753",2801593,Routine Inspection
Arby's,78729,09/12/2018,93,"13201 N FM 620 RD
AUSTIN, TX 78729",11848079,Routine Inspection
MN - Manor Express Mart,78653,06/10/2021,81,"12130 N FM 973 RD
MANOR, TX 78653",10188186,Routine Inspection
Pita Fusion,78750,03/17/2020,94,"13776 N US 183 HWY
AUSTIN, TX 78750",11503481,Routine Inspection
McDonald's  #11983,78744,01/09/2020,92,"6503 S IH
AUSTIN, TX 78744",2801778,Routine Inspection
Main Event,78729,02/05/2019,81,"13301 N US 183 HWY
AUSTIN, TX 78729",2802588,Routine Inspection
LW - Randall's #1779,78734,09/26/2018,100,"2301 S FM 620 RD
LAKEWAY, TX 78734",2803782,Routine Inspection
Mariana's Kitchen,78745,12/10/2019,88,"5510 S IH
AUSTIN, TX 78745",11514048,Routine Inspection
Sam's Club #8259 (Bakery),78748,07/02/2021,98,"9900 S IH
AUSTIN, TX 78748",10626768,Routine Inspection
Thirsty Turtle,78660,01/01/2019,90,"1200 W HOWARD LN
AUSTIN, TX 78660",11268694,Routine Inspection
Jim's Coffee Shop #30,78750,03/26/2019,93,"12832 N US 183 HWY
AUSTIN, TX 78750",2800319,Routine Inspection
S & SM Inc.,78722,09/23/2020,93,"3735 N IH
AUSTIN, TX 78722",10106835,Routine Inspection
Mt. Playmore,78753,12/28/2019,96,"13609 N IH
AUSTIN, TX 78753",11182637,Routine Inspection
LW - Gramercy,78734,04/14/2021,93,"1516 S FM 620 RD
LAKEWAY, TX 78734",12392641,Routine Inspection
Snap Kitchen,78746,04/03/2019,96,"6317 FM 2244 RD
AUSTIN, TX 78746
(30.296698, -97.833118)",10860778,Routine Inspection
Mandola's Italian Market,78751,01/02/2019,85,"4700 W GUADALUPE ST
AUSTIN, TX 78751
(30.315985, -97.732356)",2802671,Routine Inspection
Good Food and Drink,78612,03/05/2020,83,"5496 E SH
AUSTIN, TX 78612",11961644,Routine Inspection
